Date,Time,Measurement,Value,Unit,Comment
2023-04-23,11:14:08,Bodyweight,80.38,kgs,""
2023-04-23,11:11:36,Waist,32.5,in,"Belly button Tensed"
2023-04-23,11:11:19,Hips,34.4,in,""
2023-04-26,12:01:34,Bodyweight,80.7,kgs,""
2023-04-27,11:13:43,Bodyweight,81.2,kgs,""
2023-04-28,13:19:34,Bodyweight,81.2,kgs,""
2023-04-29,11:34:43,Bodyweight,81.65,kgs,""
2023-04-29,11:36:22,Waist,32.5,in,""
2023-04-29,11:36:16,Hips,34.4,in,""
2023-04-30,11:59:00,Bodyweight,81.2,kgs,""
2023-05-01,12:52:46,Bodyweight,81.2,kgs,""
2023-05-02,14:51:29,Bodyweight,80.73,kgs,""
2023-05-06,11:52:47,Bodyweight,79.83,kgs,""
2023-05-08,11:19:39,Bodyweight,80.74,kgs,""
2023-05-09,12:17:45,Bodyweight,79.83,kgs,""
2023-05-10,12:45:40,Bodyweight,81.2,kgs,""
2023-05-11,17:05:20,Bodyweight,80.74,kgs,""
2023-05-12,12:53:16,Bodyweight,82.1,kgs,""
2023-05-19,13:06:02,Bodyweight,81.65,kgs,""
2023-05-19,13:07:12,Waist,32.0,in,""
2023-05-19,13:07:09,Hips,34.0,in,""
2023-05-20,14:37:53,Bodyweight,79.83,kgs,""
2023-05-24,14:27:19,Bodyweight,80.29,kgs,""
2023-05-25,12:59:01,Bodyweight,80.29,kgs,""
2023-05-26,13:33:20,Bodyweight,81.2,kgs,""
2023-05-29,13:15:43,Bodyweight,81.2,kgs,""
2023-06-03,13:39:04,Bodyweight,81.6,kgs,""
2023-06-13,14:08:32,Bodyweight,82.3,kgs,"New scale"
2023-06-14,13:18:40,Bodyweight,83.4,kgs,""
2023-06-15,14:23:48,Bodyweight,82.6,kgs,""
2023-06-16,15:13:06,Bodyweight,83.0,kgs,""
2023-06-19,13:08:44,Bodyweight,83.0,kgs,""
2023-06-20,12:58:15,Bodyweight,83.2,kgs,""
2023-06-21,13:40:37,Bodyweight,83.3,kgs,""
2023-06-23,13:26:49,Bodyweight,83.2,kgs,""
2023-06-23,13:47:40,Waist,32.4,in,""
2023-06-23,13:47:45,Hips,34.0,in,""
2023-06-25,13:44:17,Bodyweight,83.3,kgs,""
2023-06-27,13:58:19,Bodyweight,83.3,kgs,""
2023-06-28,14:11:34,Bodyweight,83.0,kgs,""
2023-06-29,14:03:04,Bodyweight,83.8,kgs,""
2023-07-01,11:56:36,Bodyweight,83.4,kgs,""
2023-07-02,13:02:05,Bodyweight,83.7,kgs,""
2023-07-04,13:37:07,Bodyweight,83.3,kgs,""
2023-07-05,13:48:26,Bodyweight,83.3,kgs,""
2023-07-06,13:46:13,Bodyweight,83.5,kgs,""
2023-07-06,13:49:54,Waist,32.5,in,""
2023-07-06,13:47:16,Hips,34.0,in,""
2023-07-07,13:23:54,Bodyweight,83.4,kgs,""
2023-07-08,13:29:22,Bodyweight,82.8,kgs,""
2023-07-09,13:32:04,Bodyweight,82.9,kgs,""
2023-07-10,14:00:48,Bodyweight,83.9,kgs,""
2023-07-11,10:17:36,Bodyweight,83.3,kgs,""
2023-07-12,14:40:46,Bodyweight,83.4,kgs,""
2023-07-13,13:48:51,Bodyweight,83.6,kgs,""
2023-07-14,13:26:01,Bodyweight,83.7,kgs,""
2023-07-15,14:06:06,Bodyweight,83.5,kgs,""
2023-07-16,14:03:06,Bodyweight,83.5,kgs,"82.2 on black scale"
2023-07-17,13:59:14,Bodyweight,83.8,kgs,"81.7"
2023-07-19,13:16:38,Bodyweight,83.0,kgs,"81.1"
