Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2023-04-21,Dips,Chest,82.0,kgs,1,,,,""
2023-04-21,Smith Seal Row,Back,20.0,kgs,13,,,,""
2023-04-21,Decline Crunch,Abs,84.5,kgs,10,,,,""
2023-04-21,Dips,Chest,82.0,kgs,4,,,,""
2023-04-21,Smith Seal Row,Back,40.0,kgs,7,,,,""
2023-04-21,Decline Crunch,Abs,84.5,kgs,8,,,,""
2023-04-21,Dips,Chest,82.0,kgs,2,,,,""
2023-04-21,Smith Seal Row,Back,40.0,kgs,6,,,,""
2023-04-21,Decline Crunch,Abs,84.5,kgs,5,,,,""
2023-04-21,BTNSP,Front Delt,20.0,kgs,10,,,,""
2023-04-21,Chin Up,Back,82.0,kgs,4,,,,""
2023-04-21,Cable RDF,Rear Delts,2.0,kgs,9,,,,""
2023-04-21,BTNSP,Front Delt,20.0,kgs,9,,,,""
2023-04-21,Chin Up,Back,82.0,kgs,3,,,,""
2023-04-21,Cable RDF,Rear Delts,2.0,kgs,9,,,,""
2023-04-21,BTNSP,Front Delt,20.0,kgs,9,,,,""
2023-04-21,Chin Up,Back,82.0,kgs,4,,,,""
2023-04-21,Cable RDF,Rear Delts,2.0,kgs,9,,,,""
2023-04-21,EZ-Bar Skullcrusher,Triceps,20.0,kgs,9,,,,""
2023-04-21,Seated Incline Dumbbell Curl,Biceps,12.5,kgs,8,,,,""
2023-04-21,Cable Lateral Raise,Side Delts,2.0,kgs,12,,,,""
2023-04-21,Finger Curl,Forearms,50.0,kgs,11,,,,""
2023-04-21,EZ-Bar Skullcrusher,Triceps,20.0,kgs,9,,,,""
2023-04-21,Seated Incline Dumbbell Curl,Biceps,12.5,kgs,8,,,,""
2023-04-21,Cable Lateral Raise,Side Delts,2.0,kgs,12,,,,""
2023-04-21,Finger Curl,Forearms,50.0,kgs,12,,,,""
2023-04-21,EZ-Bar Skullcrusher,Triceps,20.0,kgs,9,,,,""
2023-04-21,Seated Incline Dumbbell Curl,Biceps,12.5,kgs,6,,,,""
2023-04-21,Cable Lateral Raise,Side Delts,2.0,kgs,11,,,,""
2023-04-21,Finger Curl,Forearms,50.0,kgs,9,,,,""
2023-04-22,Smith Squat,Legs,40.0,kgs,5,,,,""
2023-04-22,Smith Squat,Legs,60.0,kgs,3,,,,""
2023-04-22,Leg Press,Legs,140.0,kgs,12,,,,""
2023-04-22,Calf Press,Calves,140.0,kgs,30,,,,""
2023-04-22,Leg Press,Legs,140.0,kgs,9,,,,""
2023-04-22,Calf Press,Calves,140.0,kgs,26,,,,""
2023-04-22,Romanian Deadlift,Legs,80.0,kgs,8,,,,""
2023-04-22,Smith Shrugs,Traps,40.0,kgs,11,,,,""
2023-04-22,Romanian Deadlift,Legs,80.0,kgs,8,,,,""
2023-04-22,Smith Shrugs,Traps,40.0,kgs,9,,,,""
2023-04-23,Coan Rows,Back,60.0,kgs,5,,,,""
2023-04-23,Incline Chest Press,Chest,60.0,kgs,12,,,,""
2023-04-23,Coan Rows,Back,70.0,kgs,5,,,,""
2023-04-23,Incline Chest Press,Chest,60.0,kgs,12,,,,""
2023-04-23,Coan Rows,Back,70.0,kgs,5,,,,""
2023-04-23,Incline Chest Press,Chest,70.0,kgs,10,,,,""
2023-04-23,Cable Pullovers,Back,7.0,kgs,12,,,,""
